date,TICKER,PRC,RET
2003-04-11 00:00:00,EEM,99.700000000000003,C
2003-04-14 00:00:00,EEM,101.0,0.013039
2003-04-15 00:00:00,EEM,102.2,0.011881
2003-04-16 00:00:00,EEM,103.38,0.011546
2003-04-17 00:00:00,EEM,104.12,0.007158
2003-04-21 00:00:00,EEM,104.08,-0.000384
2003-04-22 00:00:00,EEM,104.43000000000001,0.003363
2003-04-23 00:00:00,EEM,104.92,0.004692
2003-04-24 00:00:00,EEM,102.84999999999999,-0.019729
2003-04-25 00:00:00,EEM,101.15000000000001,-0.016529
2003-04-28 00:00:00,EEM,102.81999999999999,0.01651
2003-04-29 00:00:00,EEM,105.75,0.028496
2003-04-30 00:00:00,EEM,105.45,-0.002837
2003-05-01 00:00:00,EEM,105.04000000000001,-0.003888
2003-05-02 00:00:00,EEM,106.65000000000001,0.015328
2003-05-05 00:00:00,EEM,107.8,0.010783
2003-05-06 00:00:00,EEM,108.34999999999999,0.005102
2003-05-07 00:00:00,EEM,108.15000000000001,-0.001846
2003-05-08 00:00:00,EEM,107.2,-0.008784
2003-05-09 00:00:00,EEM,108.45999999999999,0.011754
2003-05-12 00:00:00,EEM,109.97,0.013922
2003-05-13 00:00:00,EEM,109.34999999999999,-0.005638
2003-05-14 00:00:00,EEM,108.8,-0.00503
2003-05-15 00:00:00,EEM,109.02,0.002022
2003-05-16 00:00:00,EEM,109.09999999999999,0.000734
2003-05-19 00:00:00,EEM,106.5,-0.023831
2003-05-20 00:00:00,EEM,107.03,0.004977
2003-05-21 00:00:00,EEM,107.12,0.000841
2003-05-22 00:00:00,EEM,108.09,0.009055
2003-05-23 00:00:00,EEM,109.2,0.010269
2003-05-27 00:00:00,EEM,113.11,0.035806
2003-05-28 00:00:00,EEM,113.59999999999999,0.004332
2003-05-29 00:00:00,EEM,113.75,0.00132
2003-05-30 00:00:00,EEM,115.06999999999999,0.011604
2003-06-02 00:00:00,EEM,115.90000000000001,0.007213
2003-06-03 00:00:00,EEM,115.02,-0.007593
2003-06-04 00:00:00,EEM,116.5,0.012867
2003-06-05 00:00:00,EEM,116.62,0.00103
2003-06-06 00:00:00,EEM,117.70999999999999,0.009347
2003-06-09 00:00:00,EEM,116.7,-0.00858
2003-06-10 00:00:00,EEM,117.90000000000001,0.010283
2003-06-11 00:00:00,EEM,118.0,0.000848
2003-06-12 00:00:00,EEM,118.89,0.007542
2003-06-13 00:00:00,EEM,118.84999999999999,-0.000336
2003-06-16 00:00:00,EEM,120.13,0.01077
2003-06-17 00:00:00,EEM,122.59999999999999,0.020561
2003-06-18 00:00:00,EEM,122.15000000000001,-0.00367
2003-06-19 00:00:00,EEM,122.15000000000001,0
2003-06-20 00:00:00,EEM,122.15000000000001,0
2003-06-23 00:00:00,EEM,119.15000000000001,-0.02456
2003-06-24 00:00:00,EEM,118.27,-0.007386
2003-06-25 00:00:00,EEM,119.25,0.008286
2003-06-26 00:00:00,EEM,120.54000000000001,0.010818
2003-06-27 00:00:00,EEM,119.98,-0.004646
2003-06-30 00:00:00,EEM,119.90000000000001,-0.000667
2003-07-01 00:00:00,EEM,121.2,0.010842
2003-07-02 00:00:00,EEM,124.05,0.023515
2003-07-03 00:00:00,EEM,124.40000000000001,0.002821
2003-07-07 00:00:00,EEM,127.48,0.024759
2003-07-08 00:00:00,EEM,127.84,0.002824
2003-07-09 00:00:00,EEM,127.54000000000001,-0.002347
2003-07-10 00:00:00,EEM,125.3,-0.017563
2003-07-11 00:00:00,EEM,126.34999999999999,0.00838
2003-07-14 00:00:00,EEM,128.57001,0.01757
2003-07-15 00:00:00,EEM,126.95,-0.0126
2003-07-16 00:00:00,EEM,127.05,0.000788
2003-07-17 00:00:00,EEM,123.73,-0.026131
2003-07-18 00:00:00,EEM,125.38,0.013335
2003-07-21 00:00:00,EEM,123.72,-0.01324
2003-07-22 00:00:00,EEM,125.2,0.011962
2003-07-23 00:00:00,EEM,124.40000000000001,-0.00639
2003-07-24 00:00:00,EEM,125.0,0.004823
2003-07-25 00:00:00,EEM,127.05,0.0164
2003-07-28 00:00:00,EEM,127.75,0.00551
2003-07-29 00:00:00,EEM,127.03,-0.005636
2003-07-30 00:00:00,EEM,126.09999999999999,-0.007321
2003-07-31 00:00:00,EEM,126.7,0.004758
2003-08-01 00:00:00,EEM,126.98,0.00221
2003-08-04 00:00:00,EEM,126.42,-0.00441
2003-08-05 00:00:00,EEM,125.06,-0.010758
2003-08-06 00:00:00,EEM,124.5,-0.004478
2003-08-07 00:00:00,EEM,125.41,0.007309
2003-08-08 00:00:00,EEM,126.25,0.006698
2003-08-11 00:00:00,EEM,126.8,0.004356
2003-08-12 00:00:00,EEM,127.3,0.003943
2003-08-13 00:00:00,EEM,129.10001,0.01414
2003-08-14 00:00:00,EEM,130.80000000000001,0.013168
2003-08-15 00:00:00,EEM,129.5,-0.009939
2003-08-18 00:00:00,EEM,132.25998999999999,0.021313
2003-08-19 00:00:00,EEM,132.91,0.004915
2003-08-20 00:00:00,EEM,132.92999,0.00015
2003-08-21 00:00:00,EEM,135.37,0.018356
2003-08-22 00:00:00,EEM,136.06,0.005097
2003-08-25 00:00:00,EEM,135.0,-0.007791
2003-08-26 00:00:00,EEM,133.35001,-0.012222
2003-08-27 00:00:00,EEM,134.89999,0.011623
2003-08-28 00:00:00,EEM,135.84,0.006968
2003-08-29 00:00:00,EEM,136.82001,0.007214
2003-09-02 00:00:00,EEM,138.85001,0.014837
