,monthly
2005.1,0.9857342902964672
2005.11,1.0272338268144328
2005.12,0.99558250803081871
2006.1,1.0065781355198358
2006.2,1.010971573762792
2006.3,1.0051362742012053
2006.4,0.99967380493185032
2006.5,0.97220658172507879
2006.6,0.98800082468481853
2006.7,1.0204146273657198
2006.8,0.9807478734544145
2006.9,1.0168729971477424
2006.1,1.0250310394628492
2006.11,1.0228058812085126
2006.12,1.0011824383296195
2007.1,1.0027587234929685
2007.2,0.9875426711899683
2007.3,1.0179213982501756
2007.4,1.0255322271064899
2007.5,1.0130363412930394
2007.6,0.98363579226689946
2007.7,0.98166118844046291
2007.8,1.0017203302028099
2007.9,1.0248025936487262
2007.1,1.0005245662399318
2007.11,0.99129252783915645
2007.12,1.026339680605719
2008.1,1.021195396040234
2008.2,1.0647710185964412
2008.3,0.99778614023107881
2008.4,0.99518262174987004
2008.5,1.0093809951148667
2008.6,1.0626005555415621
2008.7,0.94506152223210338
2008.8,0.99382980546747823
2008.9,0.98022738977818147
2008.1,0.99131222464692992
2008.11,1.0558630209072732
2008.12,1.052523213327742
2009.1,0.96552792858078684
2009.2,1.0142005570691166
2009.3,1.0155605269501333
2009.4,0.97024501971361565
2009.5,0.99233023624917605
2009.6,0.98812609782305549
2009.7,1.0632021953664661
2009.8,1.023494569585252
2009.9,1.0493982034382354
2009.1,1.0174362873193468
2009.11,1.0369469262389606
2009.12,1.0049155295598229
2010.1,0.97509951724200561
2010.2,1.005006914946875
2010.3,1.0294241754051916
2010.4,1.02203866436428
2010.5,0.96847252110860915
2010.6,0.9755981841254856
2010.7,0.98382555908681935
2010.8,1.0271630500207904
2010.9,1.0218073568350881
2010.1,1.026013547643531
2010.11,0.9981100195954401
2010.12,1.0151158988001594
2011.1,1.0052508370253892
2011.2,1.0123057377356461
2011.3,1.0146707870419562
2011.4,1.0177180827827201
2011.5,0.99773616912502705
2011.6,0.9973072117428633
2011.7,0.98459839379843539
2011.8,1.0724706281081295
2011.9,0.96878980908731438
2011.1,0.98566040544436051
2011.11,1.0013004616234711
2011.12,0.97328567505658059
2012.1,1.0288343228148149
2012.2,1.0218242773723911
2012.3,1.0127373159877797
2012.4,1.0055055732712987
2012.5,0.96574478414701204
2012.6,1.027051501981411
2012.7,1.0056698999480986
2012.8,1.0191554394389453
2012.9,1.0199209304327848
2012.1,0.98241137408294121
2012.11,1.0076768356063943
2012.12,0.9986340762248288
2013.1,1.0196208716051181
2013.2,1.0122408632576556
2013.3,1.0207622622814458
2013.4,1.0151960439874088
2013.5,1.0151313156517985
2013.6,0.98663400617655062
2013.7,1.0308554025232364
2013.8,0.97120622752082331
