,cumrets
2005-10-04 00:00:00,0.98781880472021311
2005-10-05 00:00:00,0.97259231062047968
2005-10-06 00:00:00,0.96859535591929957
2005-10-07 00:00:00,0.97202131709173967
2005-10-10 00:00:00,0.96345641416063954
2005-10-11 00:00:00,0.96022078416444623
2005-10-12 00:00:00,0.95298819946707281
2005-10-13 00:00:00,0.95241720593833279
2005-10-14 00:00:00,0.96250475827940629
2005-10-17 00:00:00,0.96497906357061314
2005-10-18 00:00:00,0.95527217358203287
2005-10-19 00:00:00,0.96916634944803981
2005-10-20 00:00:00,0.95470118005329285
2005-10-21 00:00:00,0.95850780357822629
2005-10-24 00:00:00,0.9752569470879332
2005-10-25 00:00:00,0.97297297297297303
2005-10-26 00:00:00,0.96935668062428637
2005-10-27 00:00:00,0.95660449181575946
2005-10-28 00:00:00,0.97145032356299965
2005-11-02 00:00:00,0.98317505006891881
2005-11-03 00:00:00,0.98676811141750687
2005-11-04 00:00:00,0.98676811141750687
2005-11-07 00:00:00,0.98752454538563061
2005-11-08 00:00:00,0.98695721990953778
2005-11-09 00:00:00,0.98922652181390924
2005-11-10 00:00:00,0.99508888506686866
2005-11-11 00:00:00,0.99962748887561159
2005-11-14 00:00:00,0.99754729546327103
2005-11-15 00:00:00,0.99357601713062105
2005-11-16 00:00:00,0.99546710205093059
2005-11-17 00:00:00,1.0047334181604473
2005-11-18 00:00:00,1.0113522153815304
2005-11-21 00:00:00,1.0157017106982424
2005-11-22 00:00:00,1.0213749654591711
2005-11-23 00:00:00,1.0261026777599449
2005-11-25 00:00:00,1.0276155456961926
2005-11-28 00:00:00,1.0183492295866761
2005-11-29 00:00:00,1.018538338078707
2005-12-02 00:00:00,1.0187258451365271
2005-12-05 00:00:00,1.0164757604426862
2005-12-06 00:00:00,1.0162882533848661
2005-12-07 00:00:00,1.0119755910550039
2005-12-08 00:00:00,1.012163098112824
2005-12-09 00:00:00,1.014600689864485
2005-12-12 00:00:00,1.0162882533848658
2005-12-13 00:00:00,1.0221009721772885
2005-12-14 00:00:00,1.0239760427554894
2005-12-15 00:00:00,1.0215384510038283
2005-12-16 00:00:00,1.0202259015990878
2005-12-19 00:00:00,1.0116005769393639
2005-12-20 00:00:00,1.0125381122284642
2005-12-21 00:00:00,1.0161007463270457
2005-12-22 00:00:00,1.0207884227725479
2005-12-23 00:00:00,1.0215384510038283
2005-12-27 00:00:00,1.0067253934360416
2005-12-28 00:00:00,1.0082254498986023
2005-12-29 00:00:00,1.0044753087422005
2006-01-04 00:00:00,1.0117084211943692
2006-01-05 00:00:00,1.0109665635069673
2006-01-06 00:00:00,1.0209816422868934
2006-01-09 00:00:00,1.0246909307239029
2006-01-10 00:00:00,1.0261746460987067
2006-01-11 00:00:00,1.0291420768483144
2006-01-12 00:00:00,1.023207215349099
2006-01-13 00:00:00,1.0243200018802019
2006-01-17 00:00:00,1.0207961778650427
2006-01-18 00:00:00,1.0176432826935844
2006-01-19 00:00:00,1.023207215349099
2006-01-20 00:00:00,1.0052171664296023
2006-01-23 00:00:00,1.0081845971792101
2006-01-24 00:00:00,1.011152027928818
2006-01-25 00:00:00,1.0089264548666121
2006-01-26 00:00:00,1.0174578182717342
2006-01-27 00:00:00,1.0256182528331552
2006-01-30 00:00:00,1.0267310393642581
2006-02-02 00:00:00,1.0174477569106934
2006-02-03 00:00:00,1.0126204500348399
2006-02-06 00:00:00,1.0150341034727668
2006-02-07 00:00:00,1.0050081584229169
2006-02-08 00:00:00,1.0122491187366973
2006-02-09 00:00:00,1.0103924622459843
2006-02-10 00:00:00,1.0124347843857686
2006-02-13 00:00:00,1.0079788088080575
2006-02-14 00:00:00,1.0174477569106934
2006-02-15 00:00:00,1.0213467355411907
2006-02-16 00:00:00,1.0293303584512563
2006-02-17 00:00:00,1.0280306989077572
2006-02-21 00:00:00,1.0252457141716877
2006-02-22 00:00:00,1.0332293370817534
2006-02-23 00:00:00,1.0306300179947552
2006-02-24 00:00:00,1.0323010088363969
2006-02-27 00:00:00,1.0352716592215376
2006-03-02 00:00:00,1.0345280631294411
2006-03-03 00:00:00,1.0328549719222238
2006-03-06 00:00:00,1.0252331119782332
2006-03-07 00:00:00,1.0211433334717017
2006-03-08 00:00:00,1.0241177178400882
2006-03-09 00:00:00,1.0185407471493635
2006-03-10 00:00:00,1.0265344051394023
2006-03-13 00:00:00,1.0289510924387164
2006-03-14 00:00:00,1.0397332357741176
2006-03-15 00:00:00,1.0443807113497214
2006-03-16 00:00:00,1.0466114996260114
2006-03-17 00:00:00,1.0473550957181081
2006-03-20 00:00:00,1.0451243074418182
2006-03-21 00:00:00,1.0393614377280693
2006-03-22 00:00:00,1.0456820045108908
2006-03-23 00:00:00,1.0453102064648425
2006-03-24 00:00:00,1.046797398649036
2006-03-27 00:00:00,1.0460538025569392
2006-03-28 00:00:00,1.0399191347971422
2006-03-29 00:00:00,1.0495858839943986
2006-03-30 00:00:00,1.0467973986490362
2006-04-04 00:00:00,1.0527493383712767
2006-04-05 00:00:00,1.056655298813997
2006-04-06 00:00:00,1.0562833025813569
2006-04-07 00:00:00,1.0449374174858361
2006-04-10 00:00:00,1.0462394043000762
2006-04-11 00:00:00,1.0367535003677555
2006-04-12 00:00:00,1.0389854777635956
2006-04-13 00:00:00,1.0386134815309558
2006-04-17 00:00:00,1.0371254966003955
2006-04-18 00:00:00,1.0549813157671171
2006-04-19 00:00:00,1.0581432837445575
2006-04-20 00:00:00,1.0594452705587976
2006-04-21 00:00:00,1.0590732743261575
2006-04-24 00:00:00,1.0559113063487173
