,monthly
2005.1,0.98342967244701363
2005.11,1.0359684554722064
2005.12,0.98601141174305162
2006.1,1.0148487626031164
2006.2,1.0175182481751823
2006.3,1.0118598382749333
2006.4,1.0030035335689051
2006.5,0.95539164032314716
2006.6,0.9872873769024173
2006.7,1.0204146273657198
2006.8,0.98074787345441417
2006.9,1.0177942212825932
2006.1,1.037899860917942
2006.11,1.0306208763322617
2006.12,1.0089518229166674
2007.1,1.0111740890688259
2007.2,0.96936680877940951
2007.3,1.0292666885892803
2007.4,1.0374466740401325
2007.5,1.0257190686349114
2007.6,0.97908381204890205
2007.7,0.96274306070951454
2007.8,0.99044684129429861
2007.9,1.0393301582424339
2007.1,0.99369223998826517
2007.11,0.97293255570509951
2007.12,1.0263396806057186
2008.1,1.0211953960402342
2008.2,1.0647710185964416
2008.3,0.99778614023107881
2008.4,0.99518262174986993
2008.5,1.0093809951148669
2008.6,1.0626005555415621
2008.7,0.94506152223210327
2008.8,0.99382980546747846
2008.9,0.98022738977818136
2008.1,0.99131222464693025
2008.11,1.0558630209072735
2008.12,1.052523213327742
2009.1,0.96552792858078684
2009.2,1.0142005570691168
2009.3,1.0155605269501331
2009.4,0.9702450197136151
2009.5,0.99233023624917582
2009.6,0.97704023641736704
2009.7,1.0980392156862746
2009.8,1.0259850905218315
2009.9,1.0731812311665945
2009.1,1.0341169128354479
2009.11,1.0435939418747446
2009.12,1.0233140655105972
2010.1,0.95621389975777882
2010.2,1.0057526366251199
2010.3,1.0512676056338022
2010.4,1.0221987315010574
2010.5,0.94165632204291505
2010.6,0.94751799924213698
2010.7,0.98382555908681946
2010.8,1.0271630500207907
2010.9,1.0218073568350881
2010.1,1.0434782608695647
2010.11,1.003281519861831
2010.12,1.0343211116691775
2011.1,1.0056215868936715
2011.2,1.0157861831822446
2011.3,1.0194189839987577
2011.4,1.0206091832095769
2011.5,0.98597642846486644
2011.6,0.99785144260282388
2011.7,0.96903652487599579
2011.8,1.0724706281081298
2011.9,0.96878980908731405
2011.1,0.98566040544436062
2011.11,1.0013004616234711
2011.12,0.97328567505658048
2012.1,1.0360417325324065
2012.2,1.0352515818017478
2012.3,1.0251241600934855
2012.4,0.99363777746359416
2012.5,0.93619142572283143
2012.6,1.0416797242243814
2012.7,1.0034802784222741
2012.8,1.0320258557367414
2012.9,1.0302987399122194
2012.1,0.97825787807898701
2012.11,1.0058922558922556
2012.12,1.0007015574575557
2013.1,1.0314769975786919
2013.2,1.0146462665097427
2013.3,1.0288276745675848
2013.4,1.0154248040801086
2013.5,1.0382266731802641
2013.6,0.99152845722467475
2013.7,1.0487570553620746
2013.8,0.96274133453765387
