date,TICKER,PRC,RET
19950103,GLD,12.375,-0.048077
19950104,GLD,11.625,-0.060606
19950105,GLD,11.75,0.010753
19950106,GLD,11.25,-0.042553
19950109,GLD,10.875,-0.033333
19950110,GLD,11.375,0.045977
19950111,GLD,12.25,0.076923
19950112,GLD,12.25,0
19950113,GLD,11.875,-0.030612
19950116,GLD,11.875,0
19950117,GLD,12,0.010526
19950118,GLD,12.125,0.010417
19950119,GLD,12,-0.010309
19950120,GLD,12,0
19950123,GLD,11.75,-0.020833
19950124,GLD,11.75,0
19950125,GLD,11.125,-0.053191
19950126,GLD,11.125,0
19950127,GLD,10.5,-0.05618
19950130,GLD,10.5,0
19950131,GLD,10.125,-0.035714
19950201,GLD,10.25,0.012346
19950202,GLD,10.25,0
19950203,GLD,9.25,-0.097561
19950206,GLD,9,-0.027027
19950207,GLD,9.25,0.027778
19950208,GLD,9.625,0.040541
19950209,GLD,9.75,0.012987
19950210,GLD,9.875,0.012821
19950213,GLD,9.875,0
19950214,GLD,10.25,0.037975
19950215,GLD,10.125,-0.012195
19950216,GLD,10.75,0.061728
19950217,GLD,11,0.023256
19950221,GLD,10.75,-0.022727
19950222,GLD,11.25,0.046512
19950223,GLD,11.25,0
19950224,GLD,10.875,-0.033333
19950227,GLD,10.75,-0.011494
19950228,GLD,10.875,0.011628
19950301,GLD,10.625,-0.022989
19950302,GLD,10.75,0.011765
19950303,GLD,10.5,-0.023256
19950306,GLD,10.875,0.035714
19950307,GLD,12.25,0.126437
19950308,GLD,11.375,-0.071429
19950309,GLD,11.75,0.032967
19950310,GLD,11.875,0.010638
19950313,GLD,12.25,0.031579
19950314,GLD,12.125,-0.010204
19950315,GLD,12.5,0.030928
19950316,GLD,12.125,-0.03
19950317,GLD,12.125,0
19950320,GLD,12,-0.010309
19950321,GLD,11.625,-0.03125
19950322,GLD,11.625,0
19950323,GLD,11.5,-0.010753
19950324,GLD,11.25,-0.021739
19950327,GLD,11.25,0
19950328,GLD,11.5,0.022222
19950329,GLD,11.375,-0.01087
19950330,GLD,12.25,0.076923
19950331,GLD,12.625,0.030612
19950403,GLD,12.75,0.009901
19950404,GLD,12.75,0
19950405,GLD,12.875,0.009804
19950406,GLD,12.625,-0.019417
19950407,GLD,12.625,0
19950410,GLD,12,-0.049505
19950411,GLD,12,0
19950412,GLD,11.875,-0.010417
19950413,GLD,11.625,-0.021053
19950417,GLD,12.5,0.075269
19950418,GLD,12.625,0.01
19950419,GLD,12.875,0.019802
19950420,GLD,12.75,-0.009709
19950421,GLD,12.75,0
19950424,GLD,13.125,0.029412
19950425,GLD,13.125,0
19950426,GLD,12.5,-0.047619
19950427,GLD,13,0.04
19950428,GLD,12.625,-0.028846
19950501,GLD,12.75,0.009901
19950502,GLD,12.875,0.009804
19950503,GLD,13,0.009709
19950504,GLD,13.375,0.028846
19950505,GLD,13.375,0
19950508,GLD,13.375,0
19950509,GLD,12.625,-0.056075
19950510,GLD,12.5,-0.009901
19950511,GLD,12.25,-0.02
19950512,GLD,12.25,0
19950515,GLD,12.625,0.030612
19950516,GLD,12.5,-0.009901
19950517,GLD,12.25,-0.02
19950518,GLD,12.5,0.020408
19950519,GLD,12.25,-0.02
19950522,GLD,11.875,-0.030612
19950523,GLD,12.25,0.031579
19950524,GLD,12.375,0.010204
19950525,GLD,12.75,0.030303
19950526,GLD,12.875,0.009804
19950530,GLD,12.5,-0.025243
19950531,GLD,12.5,0
19950601,GLD,12.75,0.02
19950602,GLD,12.375,-0.029412
19950605,GLD,12.625,0.020202
19950606,GLD,12.5,-0.009901
19950607,GLD,12.75,0.02
19950608,GLD,12.875,0.009804
19950609,GLD,12.875,0
19950612,GLD,12.625,-0.019417
19950613,GLD,12.75,0.009901
19950614,GLD,13.125,0.029412
19950615,GLD,13.75,0.047619
