,momvol
1995-07-05 00:00:00,1.0037199999999999
1995-07-06 00:00:00,1.01659572016
1995-07-07 00:00:00,1.0211734506878805
1995-07-10 00:00:00,1.0217453078202656
1995-07-11 00:00:00,1.0168807784097333
1995-07-12 00:00:00,1.0294697624464459
1995-07-13 00:00:00,1.0271812511645275
1995-07-14 00:00:00,1.0263225276385541
1995-07-17 00:00:00,1.0320453020526668
1995-07-18 00:00:00,1.0231759047268261
1995-07-19 00:00:00,1.0120171483098754
1995-07-20 00:00:00,1.0157363113299143
1995-07-21 00:00:00,1.0145915765070455
1995-07-24 00:00:00,1.0220305619459951
1995-07-25 00:00:00,1.0297560909637449
1995-07-26 00:00:00,1.0288972743838811
1995-07-27 00:00:00,1.0374813643440659
1995-07-28 00:00:00,1.0309006200500315
1995-08-02 00:00:00,1.0286017116673198
1995-08-03 00:00:00,1.0283147317897647
1995-08-04 00:00:00,1.0294643876599057
1995-08-07 00:00:00,1.0317631816375501
1995-08-08 00:00:00,1.0317631816375501
1995-08-09 00:00:00,1.0314763514730549
1995-08-10 00:00:00,1.029178222161973
1995-08-11 00:00:00,1.0234323201476427
1995-08-14 00:00:00,1.0326268361118494
1995-08-15 00:00:00,1.0306152790351035
1995-08-16 00:00:00,1.0334886344330534
1995-08-17 00:00:00,1.031764775390819
1995-08-18 00:00:00,1.0329141613506045
1995-08-21 00:00:00,1.0300405941537272
1995-08-22 00:00:00,1.0320522634341096
1995-08-23 00:00:00,1.0283172662927416
1995-08-24 00:00:00,1.0294669249964568
1995-08-25 00:00:00,1.0352134093717869
1995-08-28 00:00:00,1.0314783593907735
1995-08-29 00:00:00,1.0340642756377663
1995-08-30 00:00:00,1.0363630005225091
1995-09-05 00:00:00,1.0460809763784087
1995-09-06 00:00:00,1.0480821292862206
1995-09-07 00:00:00,1.0486533340466815
1995-09-08 00:00:00,1.0526549951694038
1995-09-11 00:00:00,1.0555129534812886
1995-09-12 00:00:00,1.060371479606163
1995-09-13 00:00:00,1.0652301017257184
1995-09-14 00:00:00,1.0749481959437621
1995-09-15 00:00:00,1.0746579599308572
1995-09-18 00:00:00,1.0706355151868359
1995-09-19 00:00:00,1.0758077553607035
1995-09-20 00:00:00,1.0809802390484777
1995-09-21 00:00:00,1.0720729618787181
1995-09-22 00:00:00,1.0723602774325016
1995-09-25 00:00:00,1.0706359221063901
1995-09-26 00:00:00,1.0703489916792657
1995-09-27 00:00:00,1.0694873607409638
1995-09-28 00:00:00,1.077533114155818
1995-10-03 00:00:00,1.0786903847204214
1995-10-04 00:00:00,1.0775329499376165
1995-10-05 00:00:00,1.080715982271732
1995-10-06 00:00:00,1.0815837972054965
1995-10-09 00:00:00,1.0726142227752713
1995-10-10 00:00:00,1.0720350110949726
1995-10-11 00:00:00,1.0755073324959092
1995-10-12 00:00:00,1.0821625718693939
1995-10-13 00:00:00,1.0856352315625228
1995-10-16 00:00:00,1.0804274393567173
1995-10-17 00:00:00,1.0876609010632103
1995-10-18 00:00:00,1.0908433968597213
1995-10-19 00:00:00,1.0960521740797264
1995-10-20 00:00:00,1.0893969452787144
