,cumrets
2005-10-04 00:00:00,0.99203347651922469
2005-10-05 00:00:00,0.98270527177228728
2005-10-06 00:00:00,0.97957781518758613
2005-10-07 00:00:00,0.98232460941979405
2005-10-10 00:00:00,0.97666609858986586
2005-10-11 00:00:00,0.97389191843607337
2005-10-12 00:00:00,0.96778458386769184
2005-10-13 00:00:00,0.96688967694047867
2005-10-14 00:00:00,0.97361471183452764
2005-10-17 00:00:00,0.97485285303555635
2005-10-18 00:00:00,0.96889583761788922
2005-10-19 00:00:00,0.9785185927308645
2005-10-20 00:00:00,0.9690808442975879
2005-10-21 00:00:00,0.97310990258089725
2005-10-24 00:00:00,0.98283611344481991
2005-10-25 00:00:00,0.9797707303106874
2005-10-26 00:00:00,0.97607425730809683
2005-10-27 00:00:00,0.96834416496449183
2005-10-28 00:00:00,0.97788141492701497
2005-11-02 00:00:00,0.98508980610513008
2005-11-03 00:00:00,0.98638438730269351
2005-11-04 00:00:00,0.9862321167615965
2005-11-07 00:00:00,0.98729806983311685
2005-11-08 00:00:00,0.98854156812253224
2005-11-09 00:00:00,0.98833871858592037
2005-11-10 00:00:00,0.99410008017385632
2005-11-11 00:00:00,0.99755190147509798
2005-11-14 00:00:00,0.9946839765872072
2005-11-15 00:00:00,0.99313558151256165
2005-11-16 00:00:00,0.99607962685004114
2005-11-17 00:00:00,1.0029071490029355
2005-11-18 00:00:00,1.0065875391463808
2005-11-21 00:00:00,1.0101154808972115
2005-11-22 00:00:00,1.015090096535185
2005-11-23 00:00:00,1.0173491467521238
2005-11-25 00:00:00,1.0193795392011
2005-11-28 00:00:00,1.0135671539888549
2005-11-29 00:00:00,1.0119175712812603
2005-12-02 00:00:00,1.012355439049607
2005-12-05 00:00:00,1.0098195479262966
2005-12-06 00:00:00,1.0112637339173076
2005-12-07 00:00:00,1.0082504768429246
2005-12-08 00:00:00,1.0098384885753231
2005-12-09 00:00:00,1.0099368875568506
2005-12-12 00:00:00,1.0102704277665355
2005-12-13 00:00:00,1.0149568524994279
2005-12-14 00:00:00,1.0182899447610296
2005-12-15 00:00:00,1.0162572127490512
2005-12-16 00:00:00,1.0159629397385672
2005-12-19 00:00:00,1.0104592183007339
2005-12-20 00:00:00,1.0105051070276436
2005-12-21 00:00:00,1.0124465235528524
2005-12-22 00:00:00,1.0168583088748613
2005-12-23 00:00:00,1.0181915457795021
2005-12-27 00:00:00,1.0100010239822128
2005-12-28 00:00:00,1.0099489756946443
2005-12-29 00:00:00,1.0078833670276484
2006-01-04 00:00:00,1.013336928332748
2006-01-05 00:00:00,1.0129431994619105
2006-01-06 00:00:00,1.019181227683609
2006-01-09 00:00:00,1.0218162581516903
2006-01-10 00:00:00,1.0214247250764781
2006-01-11 00:00:00,1.0225895567974332
2006-01-12 00:00:00,1.0198498095931274
2006-01-13 00:00:00,1.0220294774786665
2006-01-17 00:00:00,1.0200823746367385
2006-01-18 00:00:00,1.0181270943490313
2006-01-19 00:00:00,1.0209775399397152
2006-01-20 00:00:00,1.0095073471856726
2006-01-23 00:00:00,1.0114410859611191
2006-01-24 00:00:00,1.0128622200335717
2006-01-25 00:00:00,1.0092717913169849
2006-01-26 00:00:00,1.014261017564313
2006-01-27 00:00:00,1.0199760678416123
2006-01-30 00:00:00,1.020002795974575
2006-02-02 00:00:00,1.0138544970235528
2006-02-03 00:00:00,1.0116529151963658
2006-02-06 00:00:00,1.0127799043633108
2006-02-07 00:00:00,1.0057205694425879
2006-02-08 00:00:00,1.0103066565975758
2006-02-09 00:00:00,1.0094437723542877
2006-02-10 00:00:00,1.009800864496168
2006-02-13 00:00:00,1.0068496809996772
2006-02-14 00:00:00,1.0125969808626964
2006-02-15 00:00:00,1.015808024502554
2006-02-16 00:00:00,1.0209383720803262
2006-02-17 00:00:00,1.0212303333746346
2006-02-21 00:00:00,1.0189666716357091
2006-02-22 00:00:00,1.0255117248944445
2006-02-23 00:00:00,1.0230042535876229
2006-02-24 00:00:00,1.0236917753451882
2006-02-27 00:00:00,1.024978076422385
2006-03-02 00:00:00,1.0231183205590755
2006-03-03 00:00:00,1.0212242354249776
2006-03-06 00:00:00,1.0150878239082293
2006-03-07 00:00:00,1.0125463706029902
2006-03-08 00:00:00,1.0147201858761166
2006-03-09 00:00:00,1.0113550853433197
2006-03-10 00:00:00,1.0159467269470701
2006-03-13 00:00:00,1.017278572181626
2006-03-14 00:00:00,1.0263433243872342
2006-03-15 00:00:00,1.0287790102586236
2006-03-16 00:00:00,1.032410150821911
2006-03-17 00:00:00,1.0321638234131758
2006-03-20 00:00:00,1.0313758952671492
2006-03-21 00:00:00,1.0261505756007954
2006-03-22 00:00:00,1.0307436070152884
2006-03-23 00:00:00,1.0296557728382301
2006-03-24 00:00:00,1.0321116346016226
2006-03-27 00:00:00,1.0308837037199263
2006-03-28 00:00:00,1.0251497227763271
2006-03-29 00:00:00,1.0312142328597664
2006-03-30 00:00:00,1.0283733367937435
2006-04-04 00:00:00,1.0323249614876637
2006-04-05 00:00:00,1.0356856430089605
2006-04-06 00:00:00,1.0344254611138641
2006-04-07 00:00:00,1.0254430906665792
2006-04-10 00:00:00,1.0267238256188362
2006-04-11 00:00:00,1.0211532246341897
2006-04-12 00:00:00,1.0218124815296419
2006-04-13 00:00:00,1.0197497607420891
2006-04-17 00:00:00,1.0201127950375775
2006-04-18 00:00:00,1.0328772131974555
2006-04-19 00:00:00,1.0339850438927116
2006-04-20 00:00:00,1.0345167425453423
2006-04-21 00:00:00,1.0350221462136504
2006-04-24 00:00:00,1.0333792895900902
