,momvmp
7/3/1995 0:00,1.003733
7/5/1995 0:00,1.00372
7/6/1995 0:00,1.012828
7/7/1995 0:00,1.004503
7/10/1995 0:00,1.00056
7/11/1995 0:00,0.995239
7/12/1995 0:00,1.01238
7/13/1995 0:00,0.997777
7/14/1995 0:00,0.999164
7/17/1995 0:00,1.005576
7/18/1995 0:00,0.991406
7/19/1995 0:00,0.989094
7/20/1995 0:00,1.003675
7/21/1995 0:00,0.998873
7/24/1995 0:00,1.007332
7/25/1995 0:00,1.007559
7/26/1995 0:00,0.999166
7/27/1995 0:00,1.008343
7/28/1995 0:00,0.993657
8/1/1995 0:00,0.998331
8/2/1995 0:00,0.99777
8/3/1995 0:00,0.999721
8/4/1995 0:00,1.001118
8/7/1995 0:00,1.002233
8/8/1995 0:00,1
8/9/1995 0:00,0.999722
8/10/1995 0:00,0.997772
8/11/1995 0:00,0.994417
8/14/1995 0:00,1.008984
8/15/1995 0:00,0.998052
8/16/1995 0:00,1.002788
8/17/1995 0:00,0.998332
8/18/1995 0:00,1.001114
8/21/1995 0:00,0.997218
8/22/1995 0:00,1.001953
8/23/1995 0:00,0.996381
8/24/1995 0:00,1.001118
8/25/1995 0:00,1.005582
8/28/1995 0:00,0.996392
8/29/1995 0:00,1.002507
8/30/1995 0:00,1.002223
9/1/1995 0:00,1.004432
9/5/1995 0:00,1.009377
9/6/1995 0:00,1.001913
9/7/1995 0:00,1.000545
9/8/1995 0:00,1.003816
9/11/1995 0:00,1.002715
9/12/1995 0:00,1.004603
9/13/1995 0:00,1.004582
9/14/1995 0:00,1.009123
9/15/1995 0:00,0.99973
9/18/1995 0:00,0.996257
9/19/1995 0:00,1.004831
9/20/1995 0:00,1.004808
9/21/1995 0:00,0.99176
9/22/1995 0:00,1.000268
9/25/1995 0:00,0.998392
9/26/1995 0:00,0.999732
9/27/1995 0:00,0.999195
9/28/1995 0:00,1.007523
10/2/1995 0:00,0.994924
10/3/1995 0:00,1.001074
10/4/1995 0:00,0.998927
10/5/1995 0:00,1.002954
10/6/1995 0:00,1.000803
10/9/1995 0:00,0.991707
10/10/1995 0:00,0.99946
10/11/1995 0:00,1.003239
10/12/1995 0:00,1.006188
10/13/1995 0:00,1.003209
10/16/1995 0:00,0.995203
10/17/1995 0:00,1.006695
10/18/1995 0:00,1.002926
10/19/1995 0:00,1.004775
10/20/1995 0:00,0.993928
10/23/1995 0:00,0.997875
10/24/1995 0:00,1.001065
10/25/1995 0:00,0.991758
10/26/1995 0:00,0.990885
10/27/1995 0:00,1.007576
10/30/1995 0:00,1.006445
11/1/1995 0:00,1.008039
11/2/1995 0:00,1.00638
11/3/1995 0:00,1.001321
11/6/1995 0:00,0.996571
11/7/1995 0:00,0.996294
11/8/1995 0:00,1.009033
11/9/1995 0:00,1.003686
11/10/1995 0:00,0.999475
11/13/1995 0:00,0.99895
11/14/1995 0:00,0.993431
11/15/1995 0:00,1.01005
11/16/1995 0:00,1.005499
11/17/1995 0:00,1.003125
11/20/1995 0:00,0.994808
11/21/1995 0:00,1.00809
11/22/1995 0:00,0.996894
11/24/1995 0:00,1.002597
11/27/1995 0:00,1.000259
11/28/1995 0:00,1.010616
11/29/1995 0:00,1.001025
12/1/1995 0:00,1.001283
12/4/1995 0:00,1.012298
12/5/1995 0:00,1.006581
12/6/1995 0:00,1.002263
12/7/1995 0:00,0.994732
12/8/1995 0:00,1.003279
12/11/1995 0:00,1.004274
12/12/1995 0:00,0.996996
12/13/1995 0:00,1.006277
12/14/1995 0:00,0.992764
12/15/1995 0:00,1.000364
12/18/1995 0:00,0.980789
12/19/1995 0:00,1.010567
12/20/1995 0:00,0.990309
12/21/1995 0:00,1.005151
12/22/1995 0:00,1.003587
12/26/1995 0:00,1.004851
12/27/1995 0:00,0.999492
12/28/1995 0:00,0.998983
1/2/1996 0:00,1.010673
1/3/1996 0:00,1.002766
1/4/1996 0:00,0.990471
1/5/1996 0:00,0.997975
1/8/1996 0:00,1.003805
1/9/1996 0:00,0.982815
1/10/1996 0:00,0.986886
1/11/1996 0:00,1.005993
1/12/1996 0:00,0.998446
1/15/1996 0:00,0.997925
1/16/1996 0:00,1.012217
1/17/1996 0:00,0.996918
1/18/1996 0:00,1.003349
1/19/1996 0:00,1.006675
1/22/1996 0:00,1.000255
1/23/1996 0:00,1.002295
1/24/1996 0:00,1.00814
1/25/1996 0:00,0.996467
1/26/1996 0:00,1.00861
1/29/1996 0:00,1.004017
1/30/1996 0:00,1.008502
2/1/1996 0:00,1.003681
2/2/1996 0:00,0.995844
2/5/1996 0:00,1.008102
2/6/1996 0:00,1.009498
2/7/1996 0:00,1.00579
2/8/1996 0:00,1.010794
2/9/1996 0:00,0.999763
2/12/1996 0:00,1.007596
2/13/1996 0:00,0.99788
2/14/1996 0:00,0.991265
2/15/1996 0:00,0.993808
2/16/1996 0:00,0.995926
2/20/1996 0:00,0.990135
2/21/1996 0:00,1.012394
2/22/1996 0:00,1.015843
2/23/1996 0:00,0.997164
2/26/1996 0:00,0.985782
2/27/1996 0:00,0.996875
2/28/1996 0:00,0.995418
3/1/1996 0:00,1.0159
3/4/1996 0:00,1.005779
3/5/1996 0:00,1.009337
3/6/1996 0:00,0.991224
3/7/1996 0:00,1.005025
3/8/1996 0:00,0.967619
3/11/1996 0:00,1.011565
3/12/1996 0:00,0.992216
3/13/1996 0:00,1.006864
3/14/1996 0:00,1.004383
3/15/1996 0:00,0.999338
3/18/1996 0:00,1.01925
3/19/1996 0:00,0.997848
3/20/1996 0:00,0.998802
3/21/1996 0:00,0.997601
3/22/1996 0:00,1.002645
3/25/1996 0:00,0.998082
3/26/1996 0:00,1.004805
3/27/1996 0:00,0.990913
3/28/1996 0:00,1.003861
4/1/1996 0:00,1.011594
4/2/1996 0:00,1.00191
4/3/1996 0:00,1
4/4/1996 0:00,0.999285
4/8/1996 0:00,0.982829
4/9/1996 0:00,0.996117
4/10/1996 0:00,0.982217
4/11/1996 0:00,0.99876
4/12/1996 0:00,1.012665
4/15/1996 0:00,1.008337
4/16/1996 0:00,1.002918
4/17/1996 0:00,0.997575
4/18/1996 0:00,1.001458
4/19/1996 0:00,1.002427
4/22/1996 0:00,1.007748
4/23/1996 0:00,1.003123
4/24/1996 0:00,0.996407
4/25/1996 0:00,1.004567
4/26/1996 0:00,1.002154
4/29/1996 0:00,1
5/1/1996 0:00,1.002151
5/2/1996 0:00,0.982833
5/3/1996 0:00,0.998544
5/6/1996 0:00,0.999028
5/7/1996 0:00,0.995866
5/8/1996 0:00,1.012454
5/9/1996 0:00,0.999276
5/10/1996 0:00,1.009896
5/13/1996 0:00,1.015057
5/14/1996 0:00,1.006122
5/15/1996 0:00,0.99883
5/16/1996 0:00,1.002109
5/17/1996 0:00,1.005378
5/20/1996 0:00,1.006744
5/21/1996 0:00,0.998614
5/22/1996 0:00,1.009484
5/23/1996 0:00,0.995875
5/24/1996 0:00,1.003912
5/28/1996 0:00,0.989915
5/29/1996 0:00,0.993285
5/30/1996 0:00,1.005128
6/3/1996 0:00,1.002804
6/4/1996 0:00,1.00699
6/5/1996 0:00,1.008792
6/6/1996 0:00,0.992661
6/7/1996 0:00,1
6/10/1996 0:00,0.996765
6/11/1996 0:00,0.999073
6/12/1996 0:00,0.998144
6/13/1996 0:00,1
6/14/1996 0:00,0.995816
6/17/1996 0:00,0.9993
6/18/1996 0:00,0.991824
6/19/1996 0:00,1.004475
6/20/1996 0:00,0.999297
6/21/1996 0:00,1.008555
6/24/1996 0:00,1.001871
6/25/1996 0:00,0.998833
6/26/1996 0:00,0.993223
6/27/1996 0:00,1.007059
7/1/1996 0:00,1.00368795
7/2/1996 0:00,0.993126332
7/3/1996 0:00,0.998723133
7/5/1996 0:00,0.976610016
7/8/1996 0:00,0.994347637
7/9/1996 0:00,1.004085646
7/10/1996 0:00,1.000885401
7/11/1996 0:00,0.982853601
7/12/1996 0:00,1.002063159
7/15/1996 0:00,0.978736268
