,annual
2005.2005,1.0159771730325438
2006.2006,1.0599389462009248
2007.2007,1.0727113380323161
2008.2008,1.1994830554771005
2009.2009,1.1029983897441442
2010.201,1.0694592754141887
2011.2011,1.0613085170459768
2012.2012,1.0822859327238552
2013.2013,1.0766644287877845
