Date,Open,High,Low,Close,Volume,Adjusted Close
2013-09-30,1722.44,1725.23,1708.89,1709.91,5074030000.0,1709.91
2013-08-31,1638.89,1640.08,1628.05,1632.97,2734300000.0,1632.97
2013-07-31,1687.76,1698.43,1684.94,1685.73,3847390000.0,1685.73
2013-06-30,1611.12,1615.94,1601.06,1606.28,4977190000.0,1606.28
2013-05-31,1652.13,1658.99,1630.74,1630.74,4099600000.0,1630.74
2013-04-30,1593.58,1597.57,1586.5,1597.57,3745070000.0,1597.57
2013-03-31,1562.86,1570.28,1561.08,1569.19,3304440000.0,1569.19
2013-02-28,1515.99,1525.34,1514.46,1514.68,3912320000.0,1514.68
2013-01-31,1501.96,1504.19,1496.76,1498.11,3999880000.0,1498.11
2012-12-31,1402.43,1426.74,1398.11,1426.19,3204330000.0,1426.19
2012-11-30,1415.95,1418.86,1411.63,1416.18,3966000000.0,1416.18
2012-10-31,1410.99,1418.76,1405.95,1412.16,3577110000.0,1412.16
2012-09-30,1447.13,1447.13,1435.6,1440.67,3509230000.0,1440.67
2012-08-31,1400.07,1413.09,1398.96,1406.58,2938250000.0,1406.58
2012-07-31,1385.27,1387.16,1379.17,1379.32,3821570000.0,1379.32
2012-06-30,1330.12,1362.17,1330.12,1362.16,4590480000.0,1362.16
2012-05-31,1313.09,1319.74,1298.9,1310.33,4557620000.0,1310.33
2012-04-30,1403.26,1403.26,1394.0,1397.91,3574010000.0,1397.91
2012-03-31,1403.31,1410.89,1401.42,1408.47,3676890000.0,1408.47
2012-02-29,1372.2,1378.04,1363.81,1365.68,4482370000.0,1365.68
2012-01-31,1313.53,1321.41,1306.69,1312.41,4235550000.0,1312.41
2011-12-31,1262.82,1264.12,1257.46,1257.6,2271850000.0,1257.6
2011-11-30,1196.72,1247.11,1196.72,1246.96,5801910000.0,1246.96
2011-10-31,1284.96,1284.96,1253.16,1253.3,4310210000.0,1253.3
2011-09-30,1159.93,1159.93,1131.34,1131.42,4416790000.0,1131.42
2011-08-31,1213.0,1230.71,1209.35,1218.89,5267840000.0,1218.89
2011-07-31,1300.12,1304.16,1282.86,1292.28,5061190000.0,1292.28
2011-06-30,1307.64,1321.97,1307.64,1320.64,4200500000.0,1320.64
2011-05-31,1331.1,1345.2,1331.1,1345.2,4696240000.0,1345.2
2011-04-30,1360.14,1364.56,1358.69,1363.61,3479070000.0,1363.61
2011-03-31,1327.44,1329.77,1325.03,1325.83,3566270000.0,1325.83
2011-02-28,1321.61,1329.38,1320.55,1327.22,1252850000.0,1327.22
2011-01-31,1276.5,1287.17,1276.5,1286.12,4167160000.0,1286.12
2010-12-31,1256.76,1259.34,1254.19,1257.64,1799770000.0,1257.64
2010-11-30,1182.96,1187.4,1174.14,1180.55,4284700000.0,1180.55
2010-10-31,1183.87,1185.46,1179.7,1183.26,3537880000.0,1183.26
2010-09-30,1145.97,1157.16,1136.08,1141.2,4284160000.0,1141.2
2010-08-31,1046.88,1055.14,1040.88,1049.33,4038770000.0,1049.33
2010-07-31,1098.44,1106.44,1088.01,1101.6,4006450000.0,1101.6
2010-06-30,1040.56,1048.08,1028.33,1030.71,5067080000.0,1030.71
2010-05-31,1102.59,1102.59,1084.78,1089.41,4871210000.0,1089.41
2010-04-30,1206.77,1207.99,1186.32,1186.69,6048260000.0,1186.69
2010-03-31,1171.75,1174.56,1165.77,1169.43,4484340000.0,1169.43
2010-02-28,1103.1,1107.24,1097.56,1104.49,3945190000.0,1104.49
2010-01-31,1087.61,1096.45,1071.59,1073.87,5412850000.0,1073.87
2009-12-31,1126.6,1127.64,1114.81,1115.1,2076990000.0,1115.1
2009-11-30,1091.07,1097.24,1086.25,1095.63,3895520000.0,1095.63
2009-10-31,1065.41,1065.41,1033.38,1036.19,6512420000.0,1036.19
2009-09-30,1061.02,1063.4,1046.47,1057.08,5998860000.0,1057.08
2009-08-31,1025.21,1025.21,1014.62,1020.62,5004560000.0,1020.62
2009-07-31,986.8,993.18,982.85,987.48,5139070000.0,987.48
2009-06-30,927.15,930.01,912.86,919.32,4627570000.0,919.32
2009-05-31,907.02,920.02,903.56,919.14,6050420000.0,919.14
2009-04-30,876.59,888.7,868.51,872.81,6862540000.0,872.81
2009-03-31,790.88,810.48,790.88,797.87,6089100000.0,797.87
2009-02-28,749.93,751.27,734.52,735.09,8926480000.0,735.09
2009-01-31,845.69,851.66,821.67,825.88,5350580000.0,825.88
2008-12-31,890.59,910.32,889.67,903.25,4172940000.0,903.25
2008-11-30,886.89,896.25,881.21,896.24,2740860000.0,896.24
2008-10-31,953.11,984.38,944.59,968.75,6394350000.0,968.75
2008-09-30,1113.78,1168.03,1113.78,1166.36,4937680000.0,1166.36
2008-08-31,1296.49,1297.59,1282.74,1282.83,3288120000.0,1282.83
2008-07-31,1281.37,1284.93,1265.97,1267.38,5346050000.0,1267.38
2008-06-30,1278.06,1290.31,1274.86,1280.0,5032330000.0,1280.0
2008-05-31,1398.36,1404.46,1398.08,1400.38,3845630000.0,1400.38
2008-04-30,1391.22,1404.57,1384.25,1385.59,4508890000.0,1385.59
2008-03-31,1315.92,1328.52,1312.81,1322.7,4188990000.0,1322.7
2008-02-29,1364.07,1364.07,1325.42,1330.63,4426730000.0,1330.63
2008-01-31,1351.98,1385.62,1334.08,1378.55,4970290000.0,1378.55
2007-12-31,1475.25,1475.83,1465.13,1468.36,2440880000.0,1468.36
2007-11-30,1471.83,1488.94,1470.89,1481.14,4422200000.0,1481.14
2007-10-31,1532.15,1552.76,1529.4,1549.38,3953070000.0,1549.38
2007-09-30,1531.24,1533.74,1521.99,1526.75,2925350000.0,1526.75
2007-08-31,1457.61,1481.47,1457.61,1473.99,2731610000.0,1473.99
2007-07-31,1473.9,1488.3,1454.25,1455.27,4524520000.0,1455.27
2007-06-30,1505.7,1517.53,1493.61,1503.35,3165410000.0,1503.35
2007-05-31,1530.19,1535.56,1528.26,1530.62,3335530000.0,1530.62
2007-04-30,1494.07,1497.16,1482.29,1482.37,3093420000.0,1482.37
2007-03-31,1422.52,1429.22,1408.9,1420.86,2903960000.0,1420.86
2007-02-28,1398.64,1415.89,1396.65,1406.82,3925250000.0,1406.82
2007-01-31,1428.65,1441.61,1424.78,1438.24,2976690000.0,1438.24
