,mvp
1995-10-20 00:00:00,0.99392799999999992
1995-10-23 00:00:00,0.99787499999999996
1995-10-24 00:00:00,1.0010650000000001
1995-10-25 00:00:00,0.99175800000000003
1995-10-26 00:00:00,0.99088500000000002
1995-10-27 00:00:00,1.007576
1995-10-30 00:00:00,1.006445
1995-11-01 00:00:00,1.0080389999999999
1995-11-02 00:00:00,1.0063800000000001
1995-11-03 00:00:00,1.0013209999999999
1995-11-06 00:00:00,0.99657099999999987
1995-11-07 00:00:00,0.99629400000000012
1995-11-08 00:00:00,1.0090330000000001
1995-11-09 00:00:00,1.0036860000000001
1995-11-10 00:00:00,0.99947499999999989
1995-11-13 00:00:00,0.99895
1995-11-14 00:00:00,0.99343099999999984
1995-11-15 00:00:00,1.0100499999999999
1995-11-16 00:00:00,1.0054989999999999
1995-11-17 00:00:00,1.003125
1995-11-20 00:00:00,0.99480800000000003
1995-11-21 00:00:00,1.0080899999999999
1995-11-22 00:00:00,0.99689399999999995
1995-11-24 00:00:00,1.002597
1995-11-27 00:00:00,1.000259
1995-11-28 00:00:00,1.010616
1995-11-29 00:00:00,1.0010250000000001
1995-12-01 00:00:00,1.0012829999999999
1995-12-04 00:00:00,1.0122979999999999
1995-12-05 00:00:00,1.0065809999999999
1995-12-06 00:00:00,1.0022629999999999
1995-12-07 00:00:00,0.99473199999999984
1995-12-08 00:00:00,1.003279
1995-12-11 00:00:00,1.0042740000000001
1995-12-12 00:00:00,0.9969960000000001
1995-12-13 00:00:00,1.0062770000000001
1995-12-14 00:00:00,0.99276400000000009
1995-12-15 00:00:00,1.000364
1995-12-18 00:00:00,0.98078900000000002
1995-12-19 00:00:00,1.010567
1995-12-20 00:00:00,0.99030899999999999
1995-12-21 00:00:00,1.0051509999999999
1995-12-22 00:00:00,1.003587
1995-12-26 00:00:00,1.0048509999999999
1995-12-27 00:00:00,0.99949200000000016
1995-12-28 00:00:00,0.99898299999999995
1996-01-02 00:00:00,1.0106729999999999
1996-01-03 00:00:00,1.002766
1996-01-04 00:00:00,0.99047099999999999
1996-01-05 00:00:00,0.99797499999999995
1996-01-08 00:00:00,1.0038050000000001
1996-01-09 00:00:00,0.98281499999999999
1996-01-10 00:00:00,0.98688600000000004
1996-01-11 00:00:00,1.0059929999999999
1996-01-12 00:00:00,0.99844599999999994
1996-01-15 00:00:00,0.99792499999999995
1996-01-16 00:00:00,1.0122169999999999
1996-01-17 00:00:00,0.99691799999999997
1996-01-18 00:00:00,1.003349
1996-01-19 00:00:00,1.006675
1996-01-22 00:00:00,1.0002549999999999
1996-01-23 00:00:00,1.0022949999999999
1996-01-24 00:00:00,1.00814
1996-01-25 00:00:00,0.99646699999999999
1996-01-26 00:00:00,1.00861
1996-01-29 00:00:00,1.0040169999999999
1996-01-30 00:00:00,1.008502
1996-02-01 00:00:00,1.003681
1996-02-02 00:00:00,0.99584399999999995
1996-02-05 00:00:00,1.0081020000000001
1996-02-06 00:00:00,1.009498
1996-02-07 00:00:00,1.00579
1996-02-08 00:00:00,1.010794
1996-02-09 00:00:00,0.99976299999999996
1996-02-12 00:00:00,1.0075959999999999
1996-02-13 00:00:00,0.99787999999999988
1996-02-14 00:00:00,0.99126499999999995
1996-02-15 00:00:00,0.99380800000000002
1996-02-16 00:00:00,0.99592599999999987
1996-02-20 00:00:00,0.99013499999999988
1996-02-21 00:00:00,1.012394
1996-02-22 00:00:00,1.0158430000000001
1996-02-23 00:00:00,0.99716400000000016
1996-02-26 00:00:00,0.98578200000000005
1996-02-27 00:00:00,0.99687499999999996
1996-02-28 00:00:00,0.99541800000000003
1996-03-01 00:00:00,1.0159
1996-03-04 00:00:00,1.005779
1996-03-05 00:00:00,1.0093369999999999
1996-03-06 00:00:00,0.99122399999999988
1996-03-07 00:00:00,1.0050250000000001
1996-03-08 00:00:00,0.96761900000000001
